t,mRNA_R,A,R,PrmA,PrmR,C,PrmA_bound,PrmR_bound,mRNA_A_
5.45000000000000000E+01,2.08192023175901263E-02,4.73124612082811202E-01,7.41591618169848963E-04,5.91698404809289902E-05,1.02972720808007008E-04,3.18921459831267684E-01,3.37254592823293920E-04,2.93451712496217048E-04,1.71713116886041441E-02
5.50000000000000000E+01,2.26562072137651074E-02,4.43969950319512086E-01,9.08570305808016100E-04,6.24268293971055351E-05,1.07873107807385403E-04,3.73137889810027268E-01,3.33997603907117287E-04,2.88551325496838585E-04,1.70483466065522726E-02
5.55000000000000000E+01,2.39334773368157366E-02,3.97474748597150651E-01,1.14888274937652714E-03,6.84464142582598856E-05,1.16748301540523766E-04,4.31145190778478959E-01,3.27978019045962977E-04,2.79676131763700344E-04,1.68036804831318554E-02
5.60000000000000000E+01,2.46780156546108770E-02,3.37715915308871684E-01,1.50882572383269613E-03,7.81323341391192632E-05,1.30558708999730662E-04,4.91528526497842622E-01,3.18292099165103667E-04,2.65865724304493230E-04,1.64050092507903658E-02
5.65000000000000000E+01,2.48725359163039540E-02,2.66580703526703766E-01,2.10284409390470040E-03,9.39502066519218998E-05,1.51949323909543493E-04,5.52815985430627266E-01,3.02474226652301044E-04,2.44475109394680346E-04,1.57595151742573152E-02
5.70000000000000000E+01,2.44021780196268245E-02,1.82918208564052664E-01,3.31651725385811742E-03,1.23237238948655160E-04,1.88166211876793454E-04,6.13096049250761443E-01,2.73187194355567866E-04,2.08258221427430384E-04,1.46005042086412920E-02
5.75000000000000000E+01,2.28388770706897185E-02,7.80204492606505345E-02,8.04098299721455086E-03,2.01332012636503094E-04,2.67909076318328216E-04,6.67250750550184457E-01,1.95092420667720040E-04,1.28515356985895460E-04,1.17685228944745170E-02
5.80000000000000000E+01,1.88341092207833967E-02,1.02195885428278069E-03,1.31352932197953992E-01,3.90744427082418745E-04,3.93810524039213958E-04,5.92151375130635205E-01,5.68000622180470274E-06,2.61390926500957880E-06,3.11040348976385347E-03
5.85000000000000000E+01,1.46931122424723178E-02,2.53148713522389362E-04,3.36922403104039536E-01,3.95193516463646273E-04,3.95814755578611100E-04,4.04017054915628060E-01,1.23091684057707660E-06,6.09677725612643416E-07,2.05450382328859491E-03
5.90000000000000000E+01,1.14559863555965171E-02,1.87160429819734645E-04,4.48521928483194610E-01,3.95526338123239254E-04,3.95976537837793810E-04,2.85016356391564141E-01,8.98095180983930532E-07,4.47895466429977851E-07,2.02454334291338797E-03
5.95000000000000000E+01,8.93294861093180473E-03,1.67848262267487170E-04,4.98570992664702339E-01,3.95622661499624596E-04,3.96023648782947680E-04,2.12574562542864248E-01,8.01771804598623904E-07,4.00784521276330266E-07,2.01879525186185590E-03
6.00000000000000000E+01,6.96743528024053402E-03,1.63421492260247070E-04,5.11608413414803009E-01,3.95645609601477611E-04,3.96034664489710892E-04,1.68567648041701545E-01,7.78823702745617445E-07,3.89768814513046230E-07,2.01725583558469250E-03
6.05000000000000000E+01,5.43666844695350759E-03,1.66259053602585974E-04,5.02880145036754711E-01,3.95633178459750285E-04,3.96028167890131848E-04,1.41861660973813641E-01,7.91254844472793717E-07,3.96265414092282309E-07,2.01754784386365318E-03
6.10000000000000000E+01,4.24478244071073950E-03,1.73626364151869108E-04,4.81797181878701242E-01,3.95598874330400007E-04,3.96010797338126593E-04,1.25675925253962928E-01,8.25558973823099418E-07,4.13635966097378529E-07,2.01891559195062657E-03
6.15000000000000000E+01,3.31702093405189958E-03,1.84358727177463588E-04,4.54154280307604130E-01,3.95548430316558768E-04,3.95985375677425106E-04,1.15887891567338933E-01,8.76002987664306121E-07,4.39057626798937443E-07,2.02104971983309333E-03
6.20000000000000000E+01,2.59512137542886566E-03,1.97934325429290428E-04,4.23504388646085861E-01,3.95484419259202317E-04,3.95953168408798187E-04,1.09992890730207502E-01,9.40014045020629719E-07,4.71264895425822065E-07,2.02381216112703082E-03
6.25000000000000000E+01,2.03369047041555276E-03,2.14145565325014940E-04,3.92007761686270828E-01,3.95407892641632395E-04,3.95914686981986140E-04,1.06469872515230712E-01,1.01654066259064395E-06,5.09746322237891394E-07,2.02714460816607028E-03
6.30000000000000000E+01,1.59736971066067588E-03,2.32958603335416852E-04,3.60957250363468485E-01,3.95319043971360394E-04,3.95870019766608858E-04,1.04395518786995684E-01,1.10538933286258986E-06,5.54413537615055841E-07,2.03103150792251263E-03
6.35000000000000000E+01,1.25862374768833263E-03,2.54453125646531399E-04,3.31104162032918592E-01,3.95217530554613596E-04,3.95818985593026718E-04,1.03209733544888424E-01,1.20690274960925021E-06,6.05447711197304910E-07,2.03548400466427391E-03
6.40000000000000000E+01,9.96013245877240029E-04,2.78791027304163617E-04,3.02861392886186909E-01,3.95102619188970753E-04,3.95761207889254105E-04,1.02573067918473912E-01,1.32181411525203958E-06,6.63225414969912048E-07,2.04053180474670758E-03
6.45000000000000000E+01,7.92852718779605962E-04,3.06199725056290886E-04,2.76430296758166050E-01,3.94973269001568919E-04,3.95696156351979880E-04,1.02280293938222799E-01,1.45116430265396435E-06,7.28276952244096487E-07,2.04621943814710773E-03
6.50000000000000000E+01,6.36159833191455681E-04,3.36970877611709888E-04,2.51880734724056699E-01,3.94828136013108282E-04,3.95623145686345695E-04,1.02207766033556496E-01,1.59629729111466210E-06,8.01287617878316979E-07,2.05260437801826337E-03
6.55000000000000000E+01,5.15841360635131956E-04,3.71456000443256423E-04,2.29201502452068495E-01,3.94665603655496348E-04,3.95541352548465532E-04,1.02281596945431333E-01,1.75882964872658695E-06,8.83080755758536351E-07,2.05975689208777067E-03
6.60000000000000000E+01,4.24056696151174325E-04,4.10070286632513361E-04,2.08332476741437622E-01,3.94483766440493805E-04,3.95449806294227702E-04,1.02458292266640563E-01,1.94066686372912520E-06,9.74627009996325246E-07,2.06776034994526989E-03
6.65000000000000000E+01,3.54722683576521528E-04,4.53304077600020236E-04,1.89185137376133378E-01,3.94280364585358430E-04,3.95347354547048236E-04,1.02713015081732792E-01,2.14406871886444473E-06,1.07707875717574679E-06,2.07671277849287052E-03
6.70000000000000000E+01,3.03129433692893139E-04,5.01731577395818601E-04,1.71655648175982056E-01,3.94052798392527642E-04,3.95232664469223052E-04,1.03032525505108261E-01,2.37163491169532595E-06,1.19176883500083803E-06,2.08672787820798379E-03
6.75000000000000000E+01,2.65640595827471276E-04,5.56018704161521113E-04,1.55633250958714053E-01,3.93798010063442917E-04,3.95104176669870157E-04,1.03410912218063727E-01,2.62642324078006735E-06,1.32025663435378058E-06,2.09793932589261677E-03
6.80000000000000000E+01,2.39462655657212027E-04,6.16955113844342459E-04,1.41005580656292068E-01,3.93512421740718570E-04,3.94960054840245273E-04,1.03847068443700855E-01,2.91201156350437418E-06,1.46437846397858269E-06,2.11050299072590083E-03
6.85000000000000000E+01,2.22463131990642999E-04,6.85474276572334631E-04,1.27661985678013568E-01,3.93191812853212999E-04,3.94798130606010297E-04,1.04343216377807899E-01,3.23262045100992081E-06,1.62630269821362938E-06,2.12460265003437546E-03
6.90000000000000000E+01,2.13034353756930210E-04,7.62691011569767625E-04,1.15495509743634012E-01,3.92831169302896145E-04,3.94615821649358864E-04,1.04904126299749406E-01,3.59326400132666094E-06,1.80861165486508307E-06,2.14045637181561237E-03
